Animal_ID,Admission,Found_Location,Type,Condition,Animal_Type,Admission_Sex,Admission_Age,Breed,Colour,Discharge,DOB,Discharge_Sex,Discharge_Age,binary_outcome,Admission_Spayed/Neutered,Discharge_Spayed/Neutered,Found_Area,Mix/PureBred,Mixed/Single_Color,Time_In_Shelter,Admission_Month
A680584,2014-06-04 15:55:00,4702 Little Hill Circle in Austin (TX),Stray,Normal,Cat,Unknown,15,Domestic Shorthair Mix,Brown Tabby,2014-06-04 17:44:00,2014-05-20 00:00:00,Unknown,15,0.0,Unknown,Unknown,Austin (TX),Mixed,Single colour,0,6
A797922,2019-06-19 13:08:00,Stassney in Austin (TX),Stray,Normal,Cat,Female,365,Domestic Shorthair,White/Brown Tabby,2019-06-25 15:22:00,2018-06-19 00:00:00,Female,371,0.0,Intact,Intact,Austin (TX),Purebred,Mixed Colour,6,6
A690783,2014-10-26 08:37:00,Westgate & 290 in Austin (TX),Stray,Normal,Cat,Female,35,Domestic Shorthair Mix,Brown Tabby,2014-12-23 16:53:00,2014-09-21 00:00:00,Female,93,0.0,Intact,Spayed,Austin (TX),Mixed,Single colour,58,10
A776412,2018-07-13 12:12:00,Lost Creek in Austin (TX),Stray,Normal,Dog,Male,242,Siberian Husky Mix,White/Black,2018-07-21 19:34:00,2017-11-13 00:00:00,Male,250,0.0,Intact,Neutered,Austin (TX),Mixed,Mixed Colour,8,7
A759720,2017-10-06 13:43:00,235 Corinthian in Austin (TX),Stray,Normal,Cat,Male,61,Domestic Shorthair Mix,Black,2017-10-11 17:54:00,2017-08-06 00:00:00,Male,66,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,5,10
A736830,2016-10-18 07:45:00,Ben White & Banister Ln in Austin (TX),Stray,Injured,Cat,Female,4377,Domestic Shorthair Mix,Blue Tabby,2016-10-30 13:02:00,2004-10-24 00:00:00,Female,4389,0.0,Intact,Intact,Austin (TX),Mixed,Single colour,12,10
A545741,2016-08-08 11:53:00,12138 N Lamar in Austin (TX),Public Assist,Normal,Dog,Female,2985,Pit Bull Mix,White/Black,2016-08-08 12:19:00,2008-06-06 00:00:00,Female,2985,0.0,Spayed,Spayed,Austin (TX),Mixed,Mixed Colour,0,8
A722864,2016-03-23 12:54:00,319 Congress Ave in Austin (TX),Wildlife,Sick,Bat,Unknown,182,Bat,Brown,2016-03-23 16:23:00,2015-09-23 00:00:00,Unknown,182,1.0,Unknown,Unknown,Austin (TX),Purebred,Single colour,0,3
A756290,2017-08-17 11:45:00,4617 Lambs Lane in Austin (TX),Stray,Normal,Cat,Male,60,Domestic Shorthair Mix,Black,2017-08-22 12:29:00,2017-06-18 00:00:00,Male,65,0.0,Intact,Intact,Austin (TX),Mixed,Single colour,5,8
A679596,2014-05-23 13:44:00,5200 E Stassney in Austin (TX),Stray,Normal,Dog,Female,1096,Doberman Pinsch Mix,Liver/Buff,2014-06-02 18:29:00,2011-05-23 00:00:00,Female,1106,0.0,Intact,Spayed,Austin (TX),Mixed,Mixed Colour,10,5
A680698,2014-06-06 12:35:00,817 W Howard Lane in Austin (TX),Stray,Normal,Cat,Female,61,Domestic Shorthair Mix,Torbie,2014-06-10 19:21:00,2014-04-06 00:00:00,Female,65,0.0,Intact,Spayed,Austin (TX),Mixed,Single colour,4,6
A671521,2014-01-26 11:31:00,1612 Larkwood Dr in Austin (TX),Stray,Normal,Cat,Female,1096,Siamese Mix,White/Black,2014-02-02 17:09:00,2011-01-26 00:00:00,Female,1103,0.0,Intact,Spayed,Austin (TX),Mixed,Mixed Colour,7,1
A753192,2017-07-03 11:40:00,Teri Rd And Freedrich Ln in Austin (TX),Stray,Normal,Dog,Female,731,Yorkshire Terrier Mix,Brown,2017-07-07 11:43:00,2015-07-03 00:00:00,Female,735,0.0,Intact,Intact,Austin (TX),Mixed,Single colour,4,7
A785936,2018-12-13 10:58:00,Austin (TX),Stray,Nursing,Cat,Female,1,Domestic Shorthair Mix,Black,2019-03-13 09:20:00,2018-12-12 00:00:00,Female,91,0.0,Intact,Spayed,Austin (TX),Mixed,Single colour,89,12
A807220,2019-10-22 12:40:00,Stratford Drive And Lou Neff Road in Austin (TX),Stray,Normal,Dog,Male,4840,Pit Bull/Border Collie,White/Black,2020-01-10 09:54:00,2006-07-22 00:00:00,Male,4920,0.0,Neutered,Neutered,Austin (TX),Purebred,Mixed Colour,79,10
A699859,2016-07-15 14:46:00,3101 West Terrace Drive in Austin (TX),Owner Surrender,Aged,Dog,Female,4121,Smooth Fox Terrier Mix,White/Brown,2017-02-27 17:45:00,2005-04-03 00:00:00,Female,4348,0.0,Spayed,Spayed,Austin (TX),Mixed,Mixed Colour,227,7
A640771,2017-11-06 18:34:00,8107 Tuscaroa Trail in Austin (TX),Stray,Normal,Dog,Female,2565,Pit Bull Mix,White/Brown,2017-11-07 11:34:00,2010-10-29 00:00:00,Female,2566,0.0,Spayed,Spayed,Austin (TX),Mixed,Mixed Colour,0,11
A706698,2015-07-02 11:21:00,4801Pimlic in Austin (TX),Stray,Normal,Cat,Male,83,Domestic Shorthair Mix,Orange Tabby,2015-09-15 19:23:00,2015-04-10 00:00:00,Male,158,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,75,7
A771823,2018-05-10 12:27:00,14405 Jacobson Road in Del Valle (TX),Stray,Normal,Cat,Female,30,Domestic Shorthair Mix,Brown Tabby,2018-08-04 15:48:00,2018-04-10 00:00:00,Female,116,0.0,Intact,Spayed,Del Valle (TX),Mixed,Single colour,86,5
A684816,2014-07-29 11:09:00,Austin (TX),Owner Surrender,Normal,Dog,Male,303,Chihuahua Shorthair/Pug,Brown/Black,2014-09-03 14:53:00,2013-09-29 00:00:00,Male,339,0.0,Intact,Neutered,Austin (TX),Purebred,Mixed Colour,36,7
A725892,2016-05-03 16:37:00,Austin (TX),Owner Surrender,Normal,Dog,Female,3653,Queensland Heeler Mix,Blue Merle/Tan,2016-12-17 09:41:00,2006-05-03 00:00:00,Female,3881,0.0,Spayed,Spayed,Austin (TX),Mixed,Mixed Colour,227,5
A697691,2015-02-26 13:20:00,3401 Ed Bluestein in Austin (TX),Stray,Normal,Dog,Male,365,Rat Terrier/Jack Russell Terrier,Tricolor,2015-04-16 16:02:00,2014-02-26 00:00:00,Male,414,0.0,Intact,Neutered,Austin (TX),Purebred,Single colour,49,2
A749094,2017-05-11 07:56:00,Dessau Rd & Rundberg in Austin (TX),Stray,Injured,Dog,Male,731,Chihuahua Shorthair Mix,Brown/Tan,2017-07-25 09:43:00,2015-05-11 00:00:00,Male,806,0.0,Intact,Neutered,Austin (TX),Mixed,Mixed Colour,75,5
A731751,2016-07-27 09:05:00,Austin (TX),Owner Surrender,Normal,Cat,Male,3653,Domestic Shorthair Mix,Brown Tabby/White,2016-08-15 17:58:00,2006-07-27 00:00:00,Male,3672,0.0,Neutered,Neutered,Austin (TX),Mixed,Mixed Colour,19,7
A747588,2017-04-21 17:06:00,4705 Leatherleaf Trl in Austin (TX),Stray,Normal,Cat,Female,365,Domestic Shorthair Mix,Brown Tabby,2017-04-25 00:00:00,2016-04-21 00:00:00,Female,369,0.0,Intact,Spayed,Austin (TX),Mixed,Single colour,3,4
A134067,2013-11-16 09:02:00,12034 Research Blvd in Austin (TX),Public Assist,Injured,Dog,Male,5875,Shetland Sheepdog,Brown/White,2013-11-16 11:54:00,1997-10-16 00:00:00,Male,5875,0.0,Neutered,Neutered,Austin (TX),Purebred,Mixed Colour,0,11
A678524,2014-05-09 17:00:00,2505 Cedarview Dr in Austin (TX),Wildlife,Sick,Raccoon,Unknown,365,Raccoon Mix,Black/Gray,2014-05-09 17:36:00,2013-05-09 00:00:00,Unknown,365,1.0,Unknown,Unknown,Austin (TX),Mixed,Mixed Colour,0,5
A796168,2019-05-29 17:26:00,Austin (TX),Owner Surrender,Nursing,Rabbit Sh,Female,365,Rabbit Sh,White/Gray,2019-05-30 00:00:00,2018-05-29 00:00:00,Female,366,0.0,Intact,Intact,Austin (TX),Purebred,Mixed Colour,0,5
A772660,2018-05-22 12:17:00,704 East St Johns in Austin (TX),Stray,Normal,Cat,Male,44,Domestic Medium Hair Mix,Cream/White,2018-06-28 07:49:00,2018-04-08 00:00:00,Male,81,0.0,Intact,Neutered,Austin (TX),Mixed,Mixed Colour,36,5
A753235,2017-07-03 15:03:00,9807 Hansford Drive in Austin (TX),Owner Surrender,Normal,Dog,Female,1826,Pekingese,Tan,2017-07-03 15:05:00,2012-07-03 00:00:00,Female,1826,0.0,Intact,Intact,Austin (TX),Purebred,Single colour,0,7
A785832,2018-12-14 14:10:00,13602 Fm 969 in Austin (TX),Stray,Normal,Dog,Male,739,American Pit Bull Terrier Mix,White/Brown,2018-12-16 14:59:00,2016-12-05 00:00:00,Male,741,0.0,Intact,Intact,Austin (TX),Mixed,Mixed Colour,2,12
A790346,2019-03-08 15:40:00,3501 Alpine Circle in Austin (TX),Owner Surrender,Normal,Cat,Female,2556,Domestic Shorthair Mix,Black,2019-03-31 15:29:00,2012-03-08 00:00:00,Female,2579,0.0,Spayed,Spayed,Austin (TX),Mixed,Single colour,22,3
A755953,2017-08-11 18:11:00,Austin (TX),Public Assist,Normal,Dog,Female,731,Pit Bull Mix,Brown Brindle,2017-10-09 17:58:00,2015-08-11 00:00:00,Female,790,0.0,Intact,Spayed,Austin (TX),Mixed,Single colour,58,8
A799601,2019-07-10 11:39:00,4714 Nuckols Crossing Road in Austin (TX),Stray,Nursing,Cat,Male,22,Domestic Shorthair,Blue Tabby,2019-08-26 18:04:00,2019-06-18 00:00:00,Male,69,0.0,Intact,Neutered,Austin (TX),Purebred,Single colour,47,7
A716339,2015-11-18 14:26:00,9603 Brown Ln in Austin (TX),Stray,Normal,Cat,Male,61,Domestic Shorthair Mix,Orange Tabby,2015-12-07 16:27:00,2015-09-18 00:00:00,Male,80,0.0,Intact,Neutered,Austin (TX),Mixed,Single colour,19,11
A737924,2016-11-06 18:48:00,4970 W 290 in Austin (TX),Wildlife,Sick,Bat,Unknown,366,Bat Mix,Brown,2016-11-06 18:58:00,2015-11-06 00:00:00,Unknown,366,1.0,Unknown,Unknown,Austin (TX),Mixed,Single colour,0,11
A647363,2014-11-20 10:47:00,4710 Harmon Ave in Austin (TX),Public Assist,Normal,Dog,Female,741,Labrador Retriever Mix,White/Red,2014-11-20 17:38:00,2012-11-09 00:00:00,Female,741,0.0,Spayed,Spayed,Austin (TX),Mixed,Mixed Colour,0,11
